,loss
99,-0.3886447250843048
100,-0.38552144169807434
101,-0.42758217453956604
102,-0.4050006866455078
103,-0.401273250579834
104,-0.40891143679618835
105,-0.39398249983787537
106,-0.3947281539440155
107,-0.36698290705680847
108,-0.3974853456020355
109,-0.35329458117485046
110,-0.36166879534721375
111,-0.4078415036201477
112,-0.3685140609741211
113,-0.4046398103237152
114,-0.3738882541656494
115,-0.40031343698501587
116,-0.3999163508415222
117,-0.3781927525997162
118,-0.37312960624694824
119,-0.3569893538951874
120,-0.3609578013420105
121,-0.4089961051940918
122,-0.3989764451980591
123,-0.39391204714775085
124,-0.36892804503440857
125,-0.4051140248775482
126,-0.4001327455043793
127,-0.412031888961792
128,-0.372442364692688
129,-0.3621975779533386
130,-0.4018534719944
131,-0.3802272379398346
132,-0.39298948645591736
133,-0.4112924039363861
134,-0.4035763740539551
135,-0.38523009419441223
136,-0.3797208368778229
137,-0.3731233775615692
138,-0.3662433624267578
139,-0.406205415725708
140,-0.39228251576423645
141,-0.3771747648715973
142,-0.38308653235435486
143,-0.40122172236442566
144,-0.3737386167049408
145,-0.39133718609809875
146,-0.38287100195884705
147,-0.39999327063560486
148,-0.37601718306541443
149,-0.4198743999004364
150,-0.3983999788761139
151,-0.3973689079284668
152,-0.41268715262413025
153,-0.37107300758361816
154,-0.362811803817749
155,-0.40121695399284363
156,-0.3581501245498657
157,-0.4111769199371338
158,-0.3896084427833557
159,-0.3910456597805023
160,-0.39469262957572937
161,-0.38368356227874756
162,-0.38922369480133057
163,-0.4150368869304657
164,-0.37960085272789
165,-0.37859615683555603
166,-0.3919561803340912
167,-0.40280672907829285
168,-0.41670843958854675
169,-0.3860146701335907
170,-0.35268425941467285
171,-0.3928431570529938
172,-0.38791027665138245
173,-0.39926281571388245
174,-0.3911389410495758
175,-0.3699752986431122
176,-0.37192514538764954
177,-0.3643845319747925
178,-0.39683300256729126
179,-0.3166148364543915
180,-0.37053433060646057
181,-0.40144824981689453
182,-0.3840388059616089
183,-0.36226898431777954
184,-0.370048850774765
185,-0.35571858286857605
186,-0.38297945261001587
187,-0.38130852580070496
188,-0.40216636657714844
189,-0.35918182134628296
190,-0.3843556046485901
191,-0.39898791909217834
192,-0.36316680908203125
193,-0.40147629380226135
194,-0.4285595118999481
195,-0.37087684869766235
196,-0.3844279944896698
197,-0.39283713698387146
198,-0.39732953906059265
199,-0.4147120416164398
200,-0.39720097184181213
201,-0.36920976638793945
202,-0.38245058059692383
203,-0.39254793524742126
204,-0.38563820719718933
205,-0.3611561357975006
206,-0.3966742157936096
207,-0.398098886013031
208,-0.36774808168411255
209,-0.3864353597164154
210,-0.39862820506095886
211,-0.3487691879272461
212,-0.41739287972450256
213,-0.3775474727153778
214,-0.32758066058158875
215,-0.3634631335735321
216,-0.3961871862411499
217,-0.4062348008155823
218,-0.3989834785461426
219,-0.39936184883117676
220,-0.37075337767601013
221,-0.3735527992248535
222,-0.37842023372650146
223,-0.3825094699859619
224,-0.3855622708797455
225,-0.38039907813072205
226,-0.3676728904247284
227,-0.376201868057251
228,-0.41922855377197266
229,-0.3613665997982025
230,-0.4161527156829834
231,-0.409900426864624
232,-0.3500159680843353
233,-0.3831532895565033
234,-0.39601728320121765
235,-0.35495781898498535
236,-0.3441396951675415
237,-0.39728865027427673
238,-0.38814637064933777
239,-0.3922674357891083
240,-0.4096238315105438
241,-0.3785948157310486
242,-0.3720386028289795
243,-0.37591347098350525
244,-0.4083540439605713
245,-0.3954617977142334
246,-0.4009001851081848
247,-0.3840576708316803
248,-0.40513941645622253
249,-0.3926777243614197
250,-0.3647777736186981
251,-0.36862558126449585
252,-0.411778062582016
253,-0.3840082287788391
254,-0.3704954981803894
255,-0.4107634723186493
256,-0.3756481409072876
257,-0.36097100377082825
258,-0.37918028235435486
259,-0.38798272609710693
260,-0.35398921370506287
261,-0.34630686044692993
262,-0.39508745074272156
263,-0.4168725907802582
264,-0.40091902017593384
265,-0.3823694586753845
266,-0.4138209819793701
267,-0.3522377014160156
268,-0.39839234948158264
269,-0.3822042644023895
270,-0.3861408233642578
271,-0.39051517844200134
272,-0.4008525311946869
273,-0.3937147557735443
274,-0.347467839717865
275,-0.3883763253688812
276,-0.3462556302547455
277,-0.39819976687431335
278,-0.3949156701564789
279,-0.38827845454216003
280,-0.36104294657707214
281,-0.38006073236465454
282,-0.3855172395706177
283,-0.3989199697971344
284,-0.4148719310760498
285,-0.4157005250453949
286,-0.3882344663143158
287,-0.3956799805164337
288,-0.3945642113685608
289,-0.42493483424186707
290,-0.3639301359653473
291,-0.35941553115844727
292,-0.4100363850593567
293,-0.4025404155254364
294,-0.39779946208000183
295,-0.4025188386440277
296,-0.41124865412712097
297,-0.36775174736976624
298,-0.37044069170951843
299,-0.3910894989967346
300,-0.37490683794021606
301,-0.39861130714416504
302,-0.3832051157951355
303,-0.39481109380722046
304,-0.3767567276954651
305,-0.3750021159648895
306,-0.3403280973434448
307,-0.4066953659057617
308,-0.34067851305007935
309,-0.3932693898677826
310,-0.3848661184310913
311,-0.3636641502380371
312,-0.3574032485485077
313,-0.38571831583976746
314,-0.3824407160282135
315,-0.42327186465263367
316,-0.3637191951274872
317,-0.3794284164905548
318,-0.40174350142478943
